name,url
Red Dead Redemption 2,https://www.metacritic.com/game/playstation-4/red-dead-redemption-2
Grand Theft Auto V,https://www.metacritic.com/game/playstation-4/grand-theft-auto-v
Persona 5 Royal,https://www.metacritic.com/game/playstation-4/persona-5-royal
The Last of Us Remastered,https://www.metacritic.com/game/playstation-4/the-last-of-us-remastered
God of War,https://www.metacritic.com/game/playstation-4/god-of-war
The Last of Us Part II,https://www.metacritic.com/game/playstation-4/the-last-of-us-part-ii
Persona 5,https://www.metacritic.com/game/playstation-4/persona-5
Metal Gear Solid V: The Phantom Pain,https://www.metacritic.com/game/playstation-4/metal-gear-solid-v-the-phantom-pain
Uncharted 4: A Thief's End,https://www.metacritic.com/game/playstation-4/uncharted-4-a-thiefs-end
Journey,https://www.metacritic.com/game/playstation-4/journey
Bloodborne,https://www.metacritic.com/game/playstation-4/bloodborne
Undertale,https://www.metacritic.com/game/playstation-4/undertale
The Witcher 3: Wild Hunt,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt
Divinity: Original Sin II - Definitive Edition,https://www.metacritic.com/game/playstation-4/divinity-original-sin-ii---definitive-edition
Pistol Whip,https://www.metacritic.com/game/playstation-4/pistol-whip
Final Fantasy XIV: Shadowbringers,https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-shadowbringers
Shadow of the Colossus,https://www.metacritic.com/game/playstation-4/shadow-of-the-colossus
The Witcher 3: Wild Hunt - Blood and Wine,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---blood-and-wine
Celeste,https://www.metacritic.com/game/playstation-4/celeste
INSIDE,https://www.metacritic.com/game/playstation-4/inside
NieR: Automata - Game of the YoRHa Edition,https://www.metacritic.com/game/playstation-4/nier-automata---game-of-the-yorha-edition
Resident Evil 2,https://www.metacritic.com/game/playstation-4/resident-evil-2
flower,https://www.metacritic.com/game/playstation-4/flower
Diablo III: Ultimate Evil Edition,https://www.metacritic.com/game/playstation-4/diablo-iii-ultimate-evil-edition
Overwatch,https://www.metacritic.com/game/playstation-4/overwatch
Shovel Knight,https://www.metacritic.com/game/playstation-4/shovel-knight
Rayman Legends,https://www.metacritic.com/game/playstation-4/rayman-legends
Fez,https://www.metacritic.com/game/playstation-4/fez
Monster Hunter: World,https://www.metacritic.com/game/playstation-4/monster-hunter-world
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler
The Witcher 3: Wild Hunt - Hearts of Stone,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone
Sekiro: Shadows Die Twice,https://www.metacritic.com/game/playstation-4/sekiro-shadows-die-twice
Astro Bot: Rescue Mission,https://www.metacritic.com/game/playstation-4/astro-bot-rescue-mission
Monster Hunter: World - Iceborne,https://www.metacritic.com/game/playstation-4/monster-hunter-world---iceborne
Rez Infinite,https://www.metacritic.com/game/playstation-4/rez-infinite
Titanfall 2,https://www.metacritic.com/game/playstation-4/titanfall-2
Dark Souls III,https://www.metacritic.com/game/playstation-4/dark-souls-iii
Tetris Effect,https://www.metacritic.com/game/playstation-4/tetris-effect
Final Fantasy XIV: Stormblood,https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-stormblood
Bastion,https://www.metacritic.com/game/playstation-4/bastion
Apex Legends,https://www.metacritic.com/game/playstation-4/apex-legends
Dreams,https://www.metacritic.com/game/playstation-4/dreams
Dragon Age: Inquisition,https://www.metacritic.com/game/playstation-4/dragon-age-inquisition
Battlefield 1,https://www.metacritic.com/game/playstation-4/battlefield-1
Horizon Zero Dawn,https://www.metacritic.com/game/playstation-4/horizon-zero-dawn
