company,description,genre,imageUrl,metascore,otherPlatform,platform,players,release,title,trailerUrl,userRatesCnt
"
                                                        Rockstar Games
                                                    ","Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar]","Action Adventure,Open-World,",https://static.metacritic.com/images/products/games/8/f5b1cbf43a118c429f67022f9e93b41d-98.jpg,97,"PC,Stadia,Xbox One,","
                                                        PlayStation 4
                                                    ",Up to 32 ,"Oct 26, 2018",Red Dead Redemption 2,https://static-gamespotvideo.cbsistatic.com/vr/2018/10/25/RDR2_CinematicCamera_GunFight_4K_8000.mp4,13517 Ratings
"
                                                        Rockstar Games
                                                    ","The sprawling sun-soaked metropolis of Los Santos is chock full of self-help coaches, starlets and C-List celebrities, once on top of the media world, now struggling to stay relevant in time of economic malaise and lowest-common-denominator reality TV. Amidst this madness, three unique criminals plan their own chances of survival and success: Franklin, a street-level hustler in search of opportunities for serious money; Michael, an ex-con whose ""retirement"" is a less rosy than he hoped it would be; and Trevor, a violent dude driven by the chance for a quick high and the next big score. Nearly out of options, the crew risks it all in a series of daring and dangerous heists that could set them up for life - one way or the other.","Action Adventure,Modern,Open-World,",https://static.metacritic.com/images/products/games/7/a149682ad949afdce7d25ee90d0ef848-98.jpg,97,"PC,PlayStation 3,Xbox 360,Xbox One,","
                                                        PlayStation 4
                                                    ",Up to 30 ,"Nov 18, 2014",Grand Theft Auto V,https://static-gamespotvideo.cbsistatic.com/vr/2017/12/07/Trailer_GTAOnline_Heists_20171207_4000.mp4,5671 Ratings
"
                                                        Atlus
                                                    ","Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.","Role-Playing,Japanese-Style,",https://static.metacritic.com/images/products/games/2/1d340c792338fa16de96bd8b60d3cab5-98.jpg,95,,"
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Mar 31, 2020",Persona 5 Royal,https://static-gamespotvideo.cbsistatic.com/vr/2019/06/10/Trailer_Persona5R_20190610_4000.mp4,2387 Ratings
"
                                                        SCEA
                                                    ","The Last of Us has been rebuilt for the PlayStation4 system. Now featuring full 1080p, higher resolution character models, improved shadows and lighting, in addition to several other gameplay improvements. 20 years after a pandemic has radically changed known civilization, infected humans run wild and survivors are killing each other for food, weapons; whatever they can get their hands on. Joel, a violent survivor, is hired to smuggle a 14 year-old girl, Ellie, out of an oppressive military quarantine zone, but what starts as a small job soon transforms into a brutal journey across the U.S. The Last of Us Remastered includes the Abandoned Territories Map Pack, Reclaimed Territories Map Pack, and the critically acclaimed The Last of Us: Left Behind Single Player campaign that combines themes of survival, loyalty, and love with tense, survival-action gameplay.","Action Adventure,General,Modern,",https://static.metacritic.com/images/products/games/6/dcb5d2f7d2f23d0d4aa8fd809af6b12e-98.jpg,95,,"
                                                        PlayStation 4
                                                    ",Up to 8 ,"Jul 29, 2014",The Last of Us Remastered,https://static-gamespotvideo.cbsistatic.com/vr/2014/12/09/Trailer_TheLastofUs_Factions_20141209_4000.mp4,13792 Ratings
"
                                                        Sony Interactive Entertainment
                                                    ","His vengeance against the gods of Olympus far behind him, Kratos now lives as a man in the lands of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same. As mentor and protector to a son determined to earn his respect, Kratos is faced with an unexpected opportunity to master the rage that has long defined him. Questioning the dark lineage he’s passed on to his son, he hopes to make amends for the shortcomings of his past. Set within the untamed forests, mountains, and realms of Norse lore, God of War features a distinctly new setting with its own pantheon of creatures, monsters, and gods. [Playstation.com]","Action Adventure,Linear,",https://static.metacritic.com/images/products/games/8/452903806353a11fbecc0089ac94ef13-98.jpg,94,"PlayStation 2,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Apr 20, 2018",God of War,https://static-gamespotvideo.cbsistatic.com/vr/2018/04/24/Gameplay_GodOfWar4K_20180419_v2_8000.mp4,15474 Ratings
"
                                                        SCEA
                                                    ","Five years after their dangerous journey across the post-pandemic United States, Ellie and Joel have settled down in Jackson, Wyoming. Living amongst a thriving community of survivors has allowed them peace and stability, despite the constant threat of the infected and other, more desperate survivors. When a violent event disrupts that peace, Ellie embarks on a relentless journey to carry out justice and find closure. As she hunts those responsible one by one, she is confronted with the devastating physical and emotional repercussions of her actions. ","General,Action Adventure,Survival,",https://static.metacritic.com/images/products/games/3/976dc172a149f212d4b059e6eede1900-98.jpg,94,,"
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Jun 19, 2020",The Last of Us Part II,https://static-gamespotvideo.cbsistatic.com/vr/2020/05/20/333335/Trailer_TLOU2_20200520_4000.mp4,141032 Ratings
"
                                                        Atlus
                                                    ","Beneath the veneer of typical urban high school life, a group of teenagers mask their mysterious alter egos, their ""phantom thief"" side. Who are they? Why are they dressed as such? What are their motives? And... why are they being pursued? A picaresque coming-of-age story, Persona 5 brings a new twist to the RPG genre. Assume the role of a second-year high school student who becomes a Persona-user through an unexpected incident. Having moved to Tokyo just before the start of the school year, he finds residence at a cafe run by his parents' friend, and is about to get his first taste of school life in the big city. The protagonist seems quiet and well-mannered at first glance, but gives a completely different impression once he has donned his ""phantom thief"" guise. What is the motivation of his alter ego...? Arsene is the protagonist's initial Persona, characterized by a mask-like face and a pair of huge, black wings. Some suspect an association between its name and the famous gentleman-thief, Arsene Lupin. What is the origin of this Persona, and what power does it hold? This is an account of the wild adventures experienced by a team of young misfits, who grow dramatically along the way. While attending Shujin High School, the protagonist will encounter a number of individuals, each with his or her own distinctive personality and charm. School life in the city is full of surprises and interesting events! It will most definitely be a fun year for the protagonist, living as an ordinary student. However, he and his friends become involved in an incident which leads to the awakening of their Personas. No one would ever suspect that these adolescents will eventually shake the world... Welcome to the next iteration of the Persona series, boasting a brand new metropolitan setting, all-new cast, and fresh, original story. [Atlus]","Role-Playing,Japanese-Style,",https://static.metacritic.com/images/products/games/5/47dc3e3e49c9cbcf53beefcedcdd6cea-98.jpg,93,"PlayStation 3,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Apr  4, 2017",Persona 5,https://static-gamespotvideo.cbsistatic.com/vr/2016/12/03/Trailer_Persona5_ThePhantomThieves_20161203_4000.mp4,4618 Ratings
"
                                                        Konami
                                                    ","Following the prologue METAL GEAR SOLID V: GROUND ZEROES, METAL GEAR SOLID V: THE PHANTOM PAIN concludes the METAL GEAR SOLID V experience by following the story of the protagonist of the series, Big Boss (a.k.a. Snake). The METAL GEAR SOLID V experience is Creator and Director Hideo Kojima's first time incorporating open world gameplay to the groundbreaking METAL GEAR franchise.","Modern,Action Adventure,Modern,Open-World,",https://static.metacritic.com/images/products/games/5/92ba4685e153548a1d1ea590b8432b29-98.jpg,93,"PC,PlayStation 3,Xbox 360,Xbox One,","
                                                        PlayStation 4
                                                    ",Up to 16 ,"Sep  1, 2015",Metal Gear Solid V: The Phantom Pain,https://static-gamespotvideo.cbsistatic.com/vr/2015/08/25/Trailer_MetalGearSolidV_20150825_4000.mp4,5492 Ratings
"
                                                        SCEA
                                                    ","Set 3 years after the events of Uncharted 3, Nathan Drake has apparently left the world of fortune hunting behind. However, it doesn’t take long for adventure to come calling when Drake’s brother, Sam, re-emerges asking for his help to save his own life and offering an adventure Drake cannot resist. On the hunt for Captain Henry Avery’s long-lost treasure, Sam and Drake embark on a journey to find Libertalia, the pirate utopia deep in the forests of Madagascar. Uncharted 4: A Thief’s End takes players around the globe, through jungle isles, urban cities and snow-capped peaks on the search for Avery’s fortune. [Naughty Dog]","General,Modern,Action Adventure,Linear,",https://static.metacritic.com/images/products/games/2/bccdebd6ae21b1a35353b6d9f27af1a5-98.jpg,93,,"
                                                        PlayStation 4
                                                    ",Up to 10 ,"May 10, 2016",Uncharted 4: A Thief's End,https://static-gamespotvideo.cbsistatic.com/vr/2015/09/15/Uncharted4_TGS15_20150915_4000.mp4,11971 Ratings
"
                                                        SCEA
                                                    ","The pioneers that brought you the award-winning PlayStation Network titles flOw & Flower are back with another title that challenges traditional gaming conventions. With Journey, thatgamecompany (TGC) continues its tradition of delivering simple gameplay and accessible controls in a rich interactive environment that invites players to explore and experience emotional chords that are still uncommon in video games.","Action,Platformer,3D,",https://static.metacritic.com/images/products/games/0/2efadc9d1e6e95e69da629f43895d2cf-98.jpg,92,"iPhone/iPad,PC,PlayStation 3,","
                                                        PlayStation 4
                                                    ",2 ,"Jul 21, 2015",Journey,https://static-gamespotvideo.cbsistatic.com/vr/gsc/2011/01/169_journey_teaser_trailer_mul_010711_2000.mp4,2157 Ratings
