name,url
Persona 5 Royal,https://www.metacritic.com/game/playstation-4/persona-5-royal
The Last of Us Part II,https://www.metacritic.com/game/playstation-4/the-last-of-us-part-ii
Half-Life: Alyx,https://www.metacritic.com/game/pc/half-life-alyx
Microsoft Flight Simulator,https://www.metacritic.com/game/pc/microsoft-flight-simulator
Pistol Whip,https://www.metacritic.com/game/playstation-4/pistol-whip
F1 2020,https://www.metacritic.com/game/xbox-one/f1-2020
Animal Crossing: New Horizons,https://www.metacritic.com/game/switch/animal-crossing-new-horizons
Ori and the Will of the Wisps,https://www.metacritic.com/game/xbox-one/ori-and-the-will-of-the-wisps
Yakuza 0,https://www.metacritic.com/game/xbox-one/yakuza-0
Xenoblade Chronicles: Definitive Edition,https://www.metacritic.com/game/switch/xenoblade-chronicles-definitive-edition
Dreams,https://www.metacritic.com/game/playstation-4/dreams
Ori and the Will of the Wisps,https://www.metacritic.com/game/pc/ori-and-the-will-of-the-wisps
DOOM Eternal,https://www.metacritic.com/game/xbox-one/doom-eternal
F1 2020,https://www.metacritic.com/game/pc/f1-2020
Halo: The Master Chief Collection - Halo 3,https://www.metacritic.com/game/pc/halo-the-master-chief-collection---halo-3
DOOM Eternal,https://www.metacritic.com/game/pc/doom-eternal
Kentucky Route Zero: TV Edition,https://www.metacritic.com/game/playstation-4/kentucky-route-zero-tv-edition
Final Fantasy VII Remake,https://www.metacritic.com/game/playstation-4/final-fantasy-vii-remake
Monster Hunter: World - Iceborne,https://www.metacritic.com/game/pc/monster-hunter-world---iceborne
Kentucky Route Zero: TV Edition,https://www.metacritic.com/game/switch/kentucky-route-zero-tv-edition
Kentucky Route Zero: TV Edition,https://www.metacritic.com/game/xbox-one/kentucky-route-zero-tv-edition
DOOM Eternal,https://www.metacritic.com/game/playstation-4/doom-eternal
Cuphead,https://www.metacritic.com/game/playstation-4/cuphead
Super Mega Baseball 3,https://www.metacritic.com/game/switch/super-mega-baseball-3
Persona 4 Golden,https://www.metacritic.com/game/pc/persona-4-golden
Huntdown,https://www.metacritic.com/game/xbox-one/huntdown
Legends of Runeterra,https://www.metacritic.com/game/pc/legends-of-runeterra
Death Stranding,https://www.metacritic.com/game/pc/death-stranding
F1 2020,https://www.metacritic.com/game/playstation-4/f1-2020
Huntdown,https://www.metacritic.com/game/switch/huntdown
Risk of Rain 2,https://www.metacritic.com/game/pc/risk-of-rain-2
Panzer Corps 2,https://www.metacritic.com/game/pc/panzer-corps-2
Streets of Rage 4,https://www.metacritic.com/game/switch/streets-of-rage-4
Desperados III,https://www.metacritic.com/game/pc/desperados-iii
Spiritfarer,https://www.metacritic.com/game/pc/spiritfarer
Huntdown,https://www.metacritic.com/game/pc/huntdown
Bug Fables: The Everlasting Sapling,https://www.metacritic.com/game/switch/bug-fables-the-everlasting-sapling
Monster Train,https://www.metacritic.com/game/pc/monster-train
Deep Rock Galactic,https://www.metacritic.com/game/pc/deep-rock-galactic
Nioh 2,https://www.metacritic.com/game/playstation-4/nioh-2
Bayonetta & Vanquish,https://www.metacritic.com/game/playstation-4/bayonetta-vanquish
Two Point Hospital,https://www.metacritic.com/game/switch/two-point-hospital
Lonely Mountains: Downhill,https://www.metacritic.com/game/switch/lonely-mountains-downhill
Desperados III,https://www.metacritic.com/game/xbox-one/desperados-iii
The Legend of Heroes: Trails of Cold Steel III,https://www.metacritic.com/game/switch/the-legend-of-heroes-trails-of-cold-steel-iii
Thronebreaker: The Witcher Tales,https://www.metacritic.com/game/switch/thronebreaker-the-witcher-tales
If Found...,https://www.metacritic.com/game/pc/if-found
WHAT THE GOLF?,https://www.metacritic.com/game/switch/what-the-golf
